source_group,source_path,snapshot_path,bytes,mtime_utc,sha256,content_role,decision
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/docs/REPRODUCIBILITY_LOG.md,vendor/legacy_snapshot/candidate_wjx/docs/REPRODUCIBILITY_LOG.md,2639,2026-07-11T10:15:24.807157+00:00,ef8820cd4105aa68001516d2324d8c30dee5382a62d08757d477f0777a157039,metadata_or_documentation,retain unchanged as provenance
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/docs/RESULTS.md,vendor/legacy_snapshot/candidate_wjx/docs/RESULTS.md,5774,2026-07-11T10:15:24.807157+00:00,689e895519629195d6ccf7bda982b2783b287eabd9032f4999c9057dfca5a99c,metadata_or_documentation,retain unchanged as provenance
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/docs/RESULT_INDEX.md,vendor/legacy_snapshot/candidate_wjx/docs/RESULT_INDEX.md,1970,2026-07-11T10:15:24.807157+00:00,5012558385e366ae77c58753b796cc573054552211aeed9a92a32af5e96288cb,metadata_or_documentation,retain unchanged as provenance
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/docs/TYPE_II_DIAGNOSTIC.md,vendor/legacy_snapshot/candidate_wjx/docs/TYPE_II_DIAGNOSTIC.md,2034,2026-07-11T10:15:24.807157+00:00,74ed46d9ce5897539649923910799aa15aecae741b878286d5a32daac4a5d548,metadata_or_documentation,retain unchanged as provenance
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/experiments/reproducibility/audit_0222_0228.py,vendor/legacy_snapshot/candidate_wjx/experiments/reproducibility/audit_0222_0228.py,6018,2026-07-11T10:15:24.809157+00:00,364ae8bad00fc10630b5f4c25eaa94d83713d1b1207dc88ec8598c191096783c,source,retain unchanged as provenance
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/experiments/reproducibility/build_split_0222.py,vendor/legacy_snapshot/candidate_wjx/experiments/reproducibility/build_split_0222.py,4421,2026-07-11T10:15:24.809157+00:00,0f5107ee0dcc612dbd5a46363fd903223f163392e43efd20a40f5d671dd4d4ba,source,retain unchanged as provenance
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/experiments/reproducibility/manifests/0222_0228_independence_audit.json,vendor/legacy_snapshot/candidate_wjx/experiments/reproducibility/manifests/0222_0228_independence_audit.json,7264,2026-07-11T10:15:24.810157+00:00,78119ea3f80036888b9edb8485d7ccde668461b0a5bba39b68fb13990b31a71f,metadata_or_documentation,retain unchanged as provenance
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/experiments/reproducibility/manifests/checkpoint_registry.json,vendor/legacy_snapshot/candidate_wjx/experiments/reproducibility/manifests/checkpoint_registry.json,1536,2026-07-11T10:15:24.892157+00:00,c132f2f77187cf101d88f5a1802c503bb0e29127dc9987f7926984fa831caa16,metadata_or_documentation,retain unchanged as provenance
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/experiments/reproducibility/manifests/split_audit.json,vendor/legacy_snapshot/candidate_wjx/experiments/reproducibility/manifests/split_audit.json,1534,2026-07-11T10:15:24.892157+00:00,78a8319255285a735cc5f233091f7180bb7ab891fe8f825d31521dd4ed57657f,metadata_or_documentation,retain unchanged as provenance
candidate_wjx,/root/autodl-tmp/wjx_project/classcify-gw-lensing-pairs-main/requirements.txt,vendor/legacy_snapshot/candidate_wjx/requirements.txt,150,2026-07-11T02:21:38+00:00,d67e54128c413091571061a6adc5b77c2188083ebc46b0ea4c4a575b8129c0d1,metadata_or_documentation,retain unchanged as provenance
